"","gamma","delay.peakload.symponset"
"1",5e-05,0.00499999999999998
"2",5.7692308e-05,0.005
"3",6.5384616e-05,0.005
"4",7.3076924e-05,0.005
"5",8.0769232e-05,0.005
"6",8.846154e-05,0.005
"7",9.6153848e-05,0.005
"8",0.000103846156,0.005
"9",0.000111538464,0.005
"10",0.000119230772,0.005
"11",0.00012692308,0.005
"12",0.000134615388,0.005
"13",0.000142307696,0.005
